
RANKING : OFFICIAL - 2006/2007
fie
Event : S

Weapon : E

Gender : F

09.09.06 Arhus (SA)	15.10.06 Turku (SA)	28.10.06 Copenhague (SA)	11.11.06 Oslo (SA)	25.11.06 Belgrade (SA)	19.01.07 Budapest (GP)	27.01.07 Prague (A)	09.02.07 Rome (GP)	10.02.07 Stockholm (SA)	16.02.07 Barcelone (GP)	24.02.07 Saint-Maur (A)	03.03.07 Tauberbischofsheim (A)	10.03.07 Edinburgh (SA)	10.03.07 St-Petersbourg (A)	17.03.07 Florina (A)	24.03.07 Luxembourg (A)	05.05.07 Split (SA)	18.05.07 Nankin (GP)	26.05.07 Sydney (A)	01.06.07 Montréal (GP)	08.06.07 La Havane (A)	23.06.07 Newcastle (SA)	02.07.07 Gand (CHZ)	12.07.07 Alger (CHZ)	22.08.07 Nantong (CHZ)	27.08.07 Montreal (CHZ)	22.09.07 Istanbul (SA)	30.09.07 St-Petersbourg (CHM)	Total
41	ROMAGNOLI TAKOUK Diana	SUI						4.00	14.00	4.00		28.00		(0.00)				4.00		(4.00)	(2.00)	(4.00)	(2.00)		4.00					6.00	66.00
42	EL SAYED Aya	EGY												0.00					0.00							64.00					64.00
43	WERTSEN Emma	SWE								0.00		0.00						2.00				0.00			52.00					6.00	60.00
44	IZSO Katalin	HUN						0.00	8.00			40.00		(0.00)				0.00		(0.00)		(0.00)	8.00								56.00
45	MARTINEZ Maria	VEN						(0.00)	(0.00)	4.00		(0.00)	4.00	(2.00)				(0.00)		4.00	4.00	4.00	(0.00)					28.00		6.00	56.00
46	PARKINSON Amber	AUS						0.00	0.00	0.00		0.00								0.00	(0.00)	(0.00)	(0.00)				52.00				52.00
47	BEN CHAABANE Imene	TUN																								52.00					52.00
48	ERMAKOVA Oxana	RUS						(4.00)	14.00	16.00		8.00				8.00	(8.00)	14.00		(4.00)		(4.00)	(0.00)								52.00
49	LUI Sabrina	HKG						(0.00)	(0.00)	(0.00)		(0.00)	14.00	(0.00)	4.00		4.00	4.00		(0.00)	(0.00)	(0.00)	2.00				28.00			0.00	52.00
50	MACESEANU Iuliana	ROU						4.00	4.00	8.00		(4.00)		8.00			(4.00)			(4.00)		8.00	(2.00)		4.00					12.00	50.00
51	VANSOVICA Julija	LAT						4.00	(0.00)					(0.00)		2.00		8.00		(0.00)	2.00	(0.00)	2.00		8.00					24.00	50.00
52	NAEF Simone	SUI						(0.00)	(2.00)	16.00		4.00		8.00				4.00		4.00		(0.00)	(2.00)		16.00					0.00	50.00
53	JUNG Hyojung	KOR																		8.00	4.00	8.00					16.00			12.00	48.00
54	CYGAN Hanna	POL						8.00	14.00	(4.00)		(0.00)	(2.00)	8.00			(4.00)	(0.00)		(0.00)		8.00	4.00		4.00						46.00
55	IKEDA Megumi	JPN																		0.00	2.00	8.00	2.00				8.00			24.00	44.00
56	MAROIU Anca	ROU						8.00	20.00	8.00		4.00		(4.00)			4.00			(0.00)					0.00					6.00	42.00
57	BURT Lacey	USA						(0.00)	2.00	(0.00)		4.00	14.00	(0.00)			2.00	2.00		(0.00)	(0.00)	(0.00)	(0.00)					16.00		6.00	42.00
58	LAWRENCE Maya	USA						0.00	2.00			(0.00)	8.00	2.00				(0.00)		(0.00)	2.00	(0.00)	(0.00)					28.00		0.00	42.00
